Threat Description,Risk Description,Impact Score (1-5),Likelihood Score (1-5),Risk Score,Impact Categories,Existing Controls,Potential Additional Controls
The loss of Head of Operations either from long term sickness or leaving.,Knowledge gap from their accumulation of client & process knowledge.,4,2,8,,Some knowledge exists with the CSM but skill set means incumbent CSM is not part of existing succession plan.,Look to recruit future deputy and train up or widen out internal skill base within the business.
No succession planning in place for Operational Team,Ability to recruit in time and the notice period of any key personnel could mean we have a short / medium term knowledge gap in the business,3,2,6,,"Whilst no formal controls are in place knowledge is spread between numerous internal parties including admin, tech, product and ops.",Consider what high risk duties key personnel do and endeavour to create a back up plan to mitigate any risks.
Incorrect invoicing or account billing or missing invoicing opportunities.,CSM not aware or cognicsent of all billable product features and as a result misses fee earning opportunities.  Or fails to chase clients in a timely manner.,5,4,20,,Real and present risk with incumbent CSM whereby the TSM or the Directors Executive either corrects or reminds CSM to invoice correctly or to bill clients.,Move this key function out of this role or recruit replacement.
Lack of Cross Departmental Training / Knowledge  (Transfer of Knowledge),TSM / DE have accumulated long term knowledge of the business and their loss could open us up to gaps in our day to day duties or customer knowledge,4,4,16,,Look to up skill key members of the business so these gaps are mitigated.,Skill / Knowledge gap analysis then put in place training plans.
Incorrect use of Broomstick.,Using customer service tools and making changes to products/ services which could adversely impact both financial / reputation of the business,5,2,10,,Basic training is in place.  Ensure key features which could be harmful to our clients our returns are locked out and are only available as view only.,Ensure training on all key areas to all non technical team members.
Presenting incorrect financial data to a client.,Not being aware products or services or pricing has changed and presenting the incorrect fees to a customer.,5,1,5,,We should only have one place to find all key financial information this should be on sharepoint,Review all accounts past and present and ensure all Ts & Cs are in place all financial documents can be found and are stored correctly.
ISO Audits,All non technical personnel understand the importance of our ISO Audits and their potential involvement,3,3,9,,CISO has control over auditor conversations but not who they choose.   Cascade information of audit should be prescriptive with all team members knowing their potential duties.,Future training in advancement of audits that you might be called upon.
PCI Audit,Overly reliance on CISO.,5,5,25,,Annual PCI Audit requires CTO / CISO to step out the business to perform this annual task.  No succession plan in place.,
Contractor Roles ( Critical ),Mitigate the reliance of contractors in critical roles.,5,5,25,,Upskill existing team members or recruit FTE with a view to replace should need be required,
Low fluency in key roles and the ability to use JIRA Atlassian to a good level.,Lack of cross departmental use & knowledge in JIRA and Atlassian could lead to comms gaps,3,3,9,,Still remains a low fluency in Atlassian and Jira between Ops and Product teams which does not aid commercial & engineering fluency,Support with enhanced training
Discipline on file notes customer information .,Multiple locations to update client / customer contact,2,3,6,,Sharepoint; Jira & Monday all store different sources of information.,Investment in building and training people to use one customer portal [Sharepoint / Jira  etc ]
Fundamental Payment knowledge on pricing and compliance.,Reliant on MD on transactional payment pricing and the generation of margin through payment,5,5,25,,Succession planning required but the use of the Adyen Marketplace Platform will mitigate some of these problems,
Not being able to deliver embedded finance products at pace to our chosen markets.,"Lack of engineering and product resources to research, design and deliver to market at pace.   Or keep up with the pace of change.",5,5,25,,"We are reliant on a small team of engineers & product specialists where we have to design, build and maintain products.",
Consumer Driven Products (Cards) Legal Complexities.,Should we want to be a consumer card issuer.  Greater demands on legal requirements.,5,5,25,,We have limited internal experience of running a consumer card proposition with the existing legal requirements.  Recruitment and will be a requirement.,
Lack of capability or capacity to run a Program Office or to manage multiple change streams all at once.,Lack of experience in running an independent PM Office which reports to the executive team.,5,5,25,,Demonstrating we are in control of any significant change programs will require some investment in a PO / PM to independently report to the Exec Board and Investors.,
Retention of talent or ensuring those in critical roles are retained or are part of a wider succession plan.  ( Succession Planning / Retention ),6 monthly review of those in such roles and likelihood to meet succession plans & / or are they a threat to the business by leaving.  Should span all areas.,5,5,25,,Retention plans are co-ordinated with a clear roadmap to support teams to retain their staff.,
Regular engagement to manage changes in client behaviour and their business,Transparent risk assessment as to the state of each customer.  Ie Growth / Dormant / Transitioning.,2,3,6,,Regular meetings F2F and virtual to continually assess state of clients.,
Over reliance on customer administrators as our core contacts.,Over reliance on 1 or 2 key people in each business and we dont always have  multiple touch points with key organisations.,3,3,9,,We continue to educate and guide our clients in the need to have regular meetings and client reviews.,
Low value accounts take up high volumes of administrative time and the returns for growth or profit are low.,Small EV based accounts are labour intensive to service and are not yielding positive returns,5,5,25,,Building bespoke products which can not be reused are timely & expensive and require regular maintenance to manage.  This requires continual engineering support and investment which outweighs the original payment and ongoing earnings.,"Objective assessment over our complete operating model with our future state in mind. Are we be missing out on new opportunities either due to structure, new emerging products, people or engineering resources.  Would an independent review give us a framework for change? 3 3 9"
